Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,50620.000000,51340.000000,50440.000000,50740.000000,32060.113281,8218850
2018-03-20,50700.000000,51200.000000,50100.000000,51200.000000,32350.765625,8193250
2018-03-21,51780.000000,51780.000000,51060.000000,51060.000000,32262.304688,8905200
2018-03-22,51060.000000,51780.000000,51040.000000,51780.000000,32717.236328,8454100
2018-03-23,50340.000000,50720.000000,49600.000000,49720.000000,31415.625000,14854950
2018-03-26,49420.000000,50280.000000,49040.000000,50280.000000,31769.460938,10057750
2018-03-27,50320.000000,50460.000000,49080.000000,49980.000000,31579.904297,11874000
2018-03-28,49100.000000,49100.000000,48340.000000,48700.000000,30771.138672,15159450
2018-03-29,48700.000000,49560.000000,48320.000000,49040.000000,48677.953125,10067000
2018-03-30,49080.000000,49900.000000,49080.000000,49220.000000,48856.625000,7777100
2018-04-02,49000.000000,49220.000000,48500.000000,48540.000000,48181.644531,7115650
2018-04-03,47880.000000,48140.000000,47280.000000,48120.000000,47764.746094,12768250
2018-04-04,48160.000000,48260.000000,46920.000000,46920.000000,46573.605469,12384200
2018-04-05,47400.000000,49380.000000,47340.000000,48740.000000,48380.167969,13245600
2018-04-06,48000.000000,48580.000000,47400.000000,48400.000000,48042.679688,12532700
2018-04-09,48260.000000,49440.000000,48200.000000,49200.000000,48836.773438,9950400
2018-04-10,48540.000000,49220.000000,48040.000000,48880.000000,48519.132813,10984350
2018-04-11,49900.000000,49900.000000,48600.000000,48860.000000,48499.281250,10051100
2018-04-12,49440.000000,49440.000000,48880.000000,49000.000000,48638.250000,12466250
2018-04-13,49600.000000,50180.000000,49400.000000,49800.000000,49432.343750,10278300
2018-04-16,50320.000000,50600.000000,49860.000000,50340.000000,49968.355469,7877450
2018-04-17,50240.000000,50540.000000,49820.000000,49980.000000,49611.011719,7772000
2018-04-18,51000.000000,51360.000000,50580.000000,51360.000000,50980.824219,13462600
2018-04-19,52000.000000,52980.000000,51540.000000,52780.000000,52390.339844,17190550
2018-04-20,51800.000000,52260.000000,51420.000000,51620.000000,51238.906250,11761000
2018-04-23,51000.000000,52080.000000,51000.000000,51900.000000,51516.839844,11619000
2018-04-24,51840.000000,51860.000000,50080.000000,50460.000000,50087.468750,15770300
2018-04-25,49220.000000,50500.000000,49220.000000,50400.000000,50027.914063,16614600
2018-04-26,50420.000000,52160.000000,50400.000000,52140.000000,51755.066406,18046550
2018-04-27,53380.000000,53640.000000,52440.000000,53000.000000,52608.718750,30310800
2018-04-30,53000.000000,53000.000000,53000.000000,53000.000000,52608.718750,0
2018-05-02,53000.000000,53000.000000,53000.000000,53000.000000,52608.718750,0
2018-05-03,53000.000000,53000.000000,53000.000000,53000.000000,52608.718750,0
2018-05-04,53000.000000,53900.000000,51800.000000,51900.000000,51516.839844,39565391
2018-05-08,52600.000000,53200.000000,51900.000000,52600.000000,52211.671875,23104720
2018-05-09,52600.000000,52800.000000,50900.000000,50900.000000,50524.222656,16128305
2018-05-10,51700.000000,51700.000000,50600.000000,51600.000000,51219.054688,13905263
2018-05-11,52000.000000,52200.000000,51200.000000,51300.000000,50921.269531,10314997
2018-05-14,51000.000000,51100.000000,49900.000000,50100.000000,49730.128906,14909272
2018-05-15,50200.000000,50400.000000,49100.000000,49200.000000,48836.773438,18709146
2018-05-16,49200.000000,50200.000000,49150.000000,49850.000000,49481.972656,15918683
2018-05-17,50300.000000,50500.000000,49400.000000,49400.000000,49035.296875,10365440
2018-05-18,49900.000000,49900.000000,49350.000000,49500.000000,49134.558594,6706570
2018-05-21,49650.000000,50200.000000,49100.000000,50000.000000,49630.867188,9020998
2018-05-23,50600.000000,52000.000000,50400.000000,51800.000000,51417.578125,17095490
2018-05-24,52000.000000,52000.000000,51100.000000,51400.000000,51020.531250,8289275
2018-05-25,51000.000000,52800.000000,50800.000000,52700.000000,52310.933594,15207266
2018-05-28,52500.000000,53000.000000,52000.000000,52300.000000,51913.886719,9787820
2018-05-29,52200.000000,52500.000000,51300.000000,51300.000000,50921.269531,8480437
2018-05-30,51300.000000,51500.000000,49100.000000,49500.000000,49134.558594,20498098
2018-05-31,50400.000000,50800.000000,49850.000000,50700.000000,50325.699219,63491109
2018-06-01,50500.000000,51700.000000,49950.000000,51300.000000,50921.269531,13038499
2018-06-04,50800.000000,51200.000000,50700.000000,51100.000000,50722.746094,9767171
2018-06-05,51100.000000,51400.000000,50400.000000,51300.000000,50921.269531,9144100
2018-06-07,51800.000000,51800.000000,50500.000000,50600.000000,50226.437500,13590016
2018-06-08,50200.000000,50400.000000,49600.000000,49650.000000,49283.449219,16951706
2018-06-11,49750.000000,50300.000000,49350.000000,49900.000000,49531.605469,10571312
2018-06-12,49700.000000,49800.000000,49250.000000,49400.000000,49035.296875,12110569
2018-06-14,49000.000000,49000.000000,48200.000000,48200.000000,47844.156250,20971729
2018-06-15,48500.000000,48700.000000,47650.000000,47650.000000,47298.214844,17080892
2018-06-18,47600.000000,47650.000000,46200.000000,46600.000000,46255.964844,16661870
2018-06-19,47200.000000,47350.000000,46500.000000,47000.000000,46653.011719,15217971
2018-06-20,47450.000000,47600.000000,46850.000000,47000.000000,46653.011719,12959316
2018-06-21,47900.000000,47900.000000,47050.000000,47050.000000,46702.644531,10015541
2018-06-22,47000.000000,47250.000000,46200.000000,47250.000000,46901.167969,10298006
2018-06-25,47050.000000,47050.000000,46150.000000,46650.000000,46305.597656,10587711
2018-06-26,45900.000000,47300.000000,45900.000000,47000.000000,46653.011719,11223166
2018-06-27,47450.000000,48500.000000,47000.000000,47950.000000,47596.000000,15274752
2018-06-28,46850.000000,47150.000000,46600.000000,46800.000000,46800.000000,12784800
2018-06-29,46250.000000,47150.000000,46200.000000,46650.000000,46650.000000,14099635
2018-07-02,46500.000000,47150.000000,45500.000000,45550.000000,45550.000000,13112253
2018-07-03,45750.000000,46450.000000,45750.000000,46150.000000,46150.000000,10959655
2018-07-04,46700.000000,47050.000000,46050.000000,46250.000000,46250.000000,8776763
2018-07-05,46100.000000,46550.000000,45600.000000,45950.000000,45950.000000,7039773
2018-07-06,45500.000000,45850.000000,44650.000000,44900.000000,44900.000000,17843706
2018-07-09,45500.000000,46100.000000,45200.000000,45600.000000,45600.000000,11602464
2018-07-10,46200.000000,46550.000000,46100.000000,46300.000000,46300.000000,10528665
2018-07-11,46400.000000,46450.000000,45400.000000,46000.000000,46000.000000,11224077
2018-07-12,45900.000000,46250.000000,45450.000000,45500.000000,45500.000000,11828104
2018-07-13,45800.000000,46500.000000,45750.000000,46500.000000,46500.000000,11543389
2018-07-16,46800.000000,46800.000000,46000.000000,46050.000000,46050.000000,7678719
2018-07-17,46150.000000,46200.000000,45600.000000,45850.000000,45850.000000,8892953
2018-07-18,46700.000000,47200.000000,46450.000000,46550.000000,46550.000000,10952645
2018-07-19,47050.000000,47200.000000,46600.000000,46900.000000,46900.000000,9880128
2018-07-20,47000.000000,47600.000000,46700.000000,47450.000000,47450.000000,10474547
2018-07-23,47100.000000,47200.000000,46150.000000,46500.000000,46500.000000,10823782
2018-07-24,46350.000000,46600.000000,45950.000000,46150.000000,46150.000000,8261363
2018-07-25,46250.000000,46550.000000,45900.000000,46150.000000,46150.000000,7222471
2018-07-26,46100.000000,47000.000000,46000.000000,46900.000000,46900.000000,7374946
2018-07-27,46450.000000,47000.000000,46450.000000,46900.000000,46900.000000,4762460
2018-07-30,46550.000000,46800.000000,46350.000000,46500.000000,46500.000000,5723035
2018-07-31,46200.000000,46450.000000,46000.000000,46250.000000,46250.000000,8033607
2018-08-01,46050.000000,46850.000000,46050.000000,46550.000000,46550.000000,7484499
2018-08-02,46550.000000,46800.000000,45500.000000,45550.000000,45550.000000,8560924
2018-08-03,45850.000000,45900.000000,45450.000000,45750.000000,45750.000000,8274944
2018-08-06,46150.000000,46150.000000,45750.000000,45800.000000,45800.000000,6771979
2018-08-07,46300.000000,46750.000000,45900.000000,46700.000000,46700.000000,9058174
2018-08-08,47000.000000,47000.000000,46550.000000,46800.000000,46800.000000,6429338
2018-08-09,47000.000000,47050.000000,46450.000000,46900.000000,46900.000000,12010886
2018-08-10,46150.000000,46400.000000,44850.000000,45400.000000,45400.000000,16670643
2018-08-13,44950.000000,45100.000000,44650.000000,45050.000000,45050.000000,9803831
2018-08-14,44850.000000,45400.000000,44850.000000,45150.000000,45150.000000,6409259
2018-08-16,43800.000000,44650.000000,43700.000000,44250.000000,44250.000000,10088229
2018-08-17,44050.000000,44400.000000,44050.000000,44100.000000,44100.000000,6808747
2018-08-20,43500.000000,44200.000000,43500.000000,43850.000000,43850.000000,7289124
2018-08-21,43700.000000,44900.000000,43700.000000,44800.000000,44800.000000,9520270
2018-08-22,45150.000000,46200.000000,44900.000000,46100.000000,46100.000000,11641656
2018-08-23,46150.000000,46200.000000,45700.000000,46200.000000,46200.000000,6730918
2018-08-24,45900.000000,46400.000000,45550.000000,46150.000000,46150.000000,6582535
2018-08-27,46100.000000,46550.000000,46000.000000,46300.000000,46300.000000,5263782
2018-08-28,46800.000000,46950.000000,46300.000000,46550.000000,46550.000000,7365976
2018-08-29,46750.000000,46800.000000,46400.000000,46800.000000,46800.000000,5572374
2018-08-30,46950.000000,47950.000000,46700.000000,47650.000000,47650.000000,12193231
2018-08-31,47100.000000,48450.000000,47000.000000,48450.000000,48450.000000,13577454
2018-09-03,48200.000000,48300.000000,47300.000000,47450.000000,47450.000000,8595084
2018-09-04,47550.000000,47800.000000,47200.000000,47650.000000,47650.000000,6791255
2018-09-05,47300.000000,47450.000000,46400.000000,46600.000000,46600.000000,9139998
2018-09-06,46200.000000,46400.000000,45800.000000,46100.000000,46100.000000,9040553
